0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:35 +0200] "GET /WebShopREST/rest/korisnik/ucitaj/remacar HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:35 +0200] "GET /WebShopREST/rest/menadzer/objekat/remacar HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:36 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:36 +0200] "GET /WebShopREST/rest/porudzbina/dobaviPorudzbineKupca/remacar HTTP/1.1" 200 39785
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:51 +0200] "POST /WebShopREST/rest/komentar/dodaj HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:54 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:54 +0200] "GET /WebShopREST/rest/porudzbina/dobaviPorudzbinu/YjWlavCphk HTTP/1.1" 200 4480
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:57 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:57 +0200] "GET /WebShopREST/rest/porudzbina/dobaviPorudzbineKupca/remacar HTTP/1.1" 200 39785
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:58 +0200] "GET /WebShopREST/profile.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:58 +0200] "GET /WebShopREST/rest/korisnik/ucitaj/remacar HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:58 +0200] "GET /WebShopREST/rest/menadzer/objekat/remacar HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:59 +0200] "POST /WebShopREST/rest/korisnik/izlogujse HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:59 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:59 +0200] "GET /WebShopREST/rest/lokacije/dobaviSveAdrese HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:59 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:04 +0200] "GET /WebShopREST/rest/korisnik/ulogujse/simona/123 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:05 +0200] "GET /WebShopREST/profile.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:05 +0200] "GET /WebShopREST/rest/korisnik/ucitaj/simona HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:05 +0200] "GET /WebShopREST/rest/menadzer/objekat/simona HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:06 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:06 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviObjekat/5 HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:06 +0200] "GET /WebShopREST/rest/menadzer/objekat/undefined HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:08 +0200] "GET /WebShopREST/rest/rentACarObjekat/svavozila/5 HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:08 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:10 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:10 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviObjekat/5 HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:10 +0200] "GET /WebShopREST/rest/menadzer/objekat/undefined HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:10 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:10 +0200] "GET /WebShopREST/rest/menadzer/dobaviMenadzera/18 HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:10 +0200] "GET /WebShopREST/rest/porudzbina/dobaviPorudzbinePoObjektima/5 HTTP/1.1" 200 21195
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:13 +0200] "GET /WebShopREST/rest/korisnik/ucitaj/brzakoza HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:25 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:25 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviObjekat/5 HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:25 +0200] "GET /WebShopREST/rest/menadzer/objekat/undefined HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:27 +0200] "GET /WebShopREST/rest/rentACarObjekat/svavozila/5 HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:27 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:39 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:40 +0200] "GET /WebShopREST/rest/rentACarObjekat/svavozila/5 HTTP/1.1" 200 1998
